289340,580593
355906,25442
12801,763497
9123,100456
616261,421847
975541,282333
90695,916436
575718,487108
224764,92857
208455,507363
404659,947868
713259,273305
550811,864780
639804,763954
545725,221472
730432,828167
929479,845558
761180,58913
750585,353855
394371,235927
778123,319538
57423,213807
861898,700908
67370,226823
123784,419234
65914,51543
840260,864975
897456,276821
579931,544865
41808,727263
314529,233627
74330,60207
815489,646955
491065,869619
316695,950906
734491,281268
95641,210137
543152,549938
59236,778535
108337,804562
839887,442664
964737,757277
957080,260947
781361,515880
74208,715010
767269,656834
342711,642466
349981,590979
797432,120899
221546,472097
249772,330765
396073,537226
26083,289291
768088,688716
261011,201544
463680,708994
224988,41587
919784,433917
40761,876788
568515,550147
236220,470273
53347,55712
453008,681065
939874,742252
691989,505092
524396,67843
181147,618006
931241,983563
142676,416397
728643,108784
148883,465773
141565,214474
610633,140067
229501,820983
655253,873470
83675,653140
430043,103190
241307,643259
947743,120059
390962,97750
839441,985402
748510,719461
381872,948657
935512,312357
305348,522140
960897,693580
275694,206988
682246,643092
820606,972644
345383,884682
694006,377654
236233,927420
844500,841049
951597,686376
526168,260241
395942,872271
728456,749506
646715,626538
546184,388809
522799,738745
359070,384509
524876,399089
979414,13460
578559,517434
228140,888173
546329,375464
129576,603012
3556,710189
124339,231386
203844,958727
306054,153833
441332,695995
320757,266514
366513,436462
771681,48623
868550,570483
389670,57309
782032,747062
351226,265583
376086,963129
305136,245976
473529,211208
864473,839528
23416,137102
533523,850109
540708,879246
67570,41640
7097,596170
992696,352619
529287,703660
153505,945932
272896,917392
794410,477034
299294,643407
69422,938804
705819,913864
56476,527516
910192,163337
449237,622523
942903,965772
1827,283311
398831,194337
737554,493941
154527,251322
599406,474909
728693,146313
217930,41346
797370,928703
197994,156779
986910,776259
144509,625673
574528,731894
530680,596621
73950,697239
535227,330855
294533,25532
975963,652163
544096,687114
887888,933453
331398,304815
387177,947975
905917,287035
173122,608509
457912,848111
853427,766471
12408,858513
531420,278349
972234,53400
836008,158685
868210,113513
195042,480327
746424,195411
617560,154240
715165,613345
690761,991036
777344,237397
168736,542712
451387,392573
373583,796856
360221,70961
195184,69626
143556,159238
697891,544438
383911,411161
682903,546292
123503,912589
911483,931915
823857,824232
585025,509378
201092,107631
268956,93635
134495,944680
943513,838820
17782,294554
516267,540615
919829,545424
806641,829174
135824,181792
610852,817649
498823,854235
41956,275768
516225,772541
568339,245661
482129,484749
468661,869968
880412,507773
605395,76748
47381,552680
98909,352791
287655,537349
553573,918280
149260,472688
790248,785491
373073,32692
26798,624021
682124,128194
510157,87293
435778,730601
901833,695521
651672,666067
755290,729338
150887,282282
840634,393242
88527,899851
970411,979556
278743,353378
52540,1979
382264,681666
198479,844324
658362,802140
445894,886712
277305,879666
366806,210645
578102,927293
285954,224751
586808,740126
753578,149196
371370,622866
722552,129915
890731,305529
340988,198427
439783,251226
141307,616741
446521,194005
336706,639261
636291,664156
93732,805016
958974,47599
446173,269823
159423,551060
313815,285344
379430,400382
501456,16980
668428,514798
990969,971041
22993,770516
623696,642445
596396,869517
68189,271379
817922,843489
141042,687176
639802,77468
685745,436234
209784,126926
542039,640215
169672,362254
130197,147246
638230,90035
881716,651750
873222,527528
390104,925649
661177,586502
917811,812141
770071,198495
515697,235990
726092,979604
60537,391165
82034,632427
21510,157475
825649,554634
804351,860595
85406,647112
181675,663860
64276,992837
595201,707699
989053,791452
805954,863331
183460,107065
34076,685926
74317,330938
555681,890537
942861,915236
599081,692209
16883,394932
328161,823694
65656,22037
248978,869679
931123,910455
381558,8063
622129,171170
189493,840217
527315,524616
758047,18191
231875,40494
311786,19775
81429,326793
961659,924738
859220,965930
87496,851749
772127,103413
929337,790457
877381,965379
390909,506406
491706,815277
141602,245973
509579,88880
72213,57639
331928,849941
436073,587277
443799,874847
421119,894469
797814,538774
67087,956679
118398,599684
897042,506141
166941,763552
297823,201836
320883,348991
752016,435036
101149,894644
384370,57162
400429,922842
939676,766636
610901,274221
546494,529407
990317,582424
534973,36355
516769,769145
618670,26686
685932,822511
532382,714171
137197,498600
94256,725242
650089,689872
119525,953181
185836,155927
860660,701784
644360,242958
879499,932145
669276,641477
357252,703522
532099,82809
641218,143136
556180,625591
249704,226813
196249,317945
807548,727322
160986,384305
9121,837149
264577,892456
623921,987141
418240,573781
91942,867731
704232,124495
572337,269151
710232,666706
297454,182768
810083,547288
258335,728639
674642,316273
235399,590304
113659,625821
